label,search_aliases,official_filer_name,cik,validation_status,notes
Berkshire Hathaway,,BERKSHIRE HATHAWAY INC,1067983,VERIFIED,44 13F filings; latest report 2026-06-30
Pershing Square Capital Management,Pershing Square,"Pershing Square Capital Management, L.P.",1336528,VERIFIED_WITH_SCOPE,scope: track PSCM L.P. (CIK 1336528); PERSHING SQUARE INC (CIK 2026053) is a separate active 13F filer since 2025-08; not merged
Himalaya Capital Management,,Himalaya Capital Management LLC,1709323,VERIFIED,36 13F filings; latest report 2026-06-30
The Baupost Group,Baupost,BAUPOST GROUP LLC/MA,1061768,VERIFIED,109 13F filings; latest report 2026-06-30
Appaloosa Management,Appaloosa,Appaloosa LP,1656456,VERIFIED_WITH_SCOPE,"scope: track Appaloosa LP (CIK 1656456, active since 2016-05); APPALOOSA MANAGEMENT LP (CIK 1006438) is the historical pre-2016 entity"
Third Point,,Third Point LLC,1040273,VERIFIED,118 13F filings; latest report 2026-06-30
Scion Asset Management,Scion,"Scion Asset Management, LLC",1649339,VERIFIED,unique filer match (Michael Burry); latest report period 2025-09-30 (stale)
Pabrai Investment Funds,Pabrai,,,EXCLUDED,only SEC filer is individual PABRAI MOHNISH (CIK 1173334); no 13F since 2011-12-31; not an independent institutional filer for v0.1
Akre Capital Management,,AKRE CAPITAL MANAGEMENT LLC,1112520,VERIFIED,125 13F filings; latest report 2026-06-30
Viking Global Investors,,VIKING GLOBAL INVESTORS LP,1103804,VERIFIED,107 13F filings; latest report 2026-06-30
Lone Pine Capital,,LONE PINE CAPITAL LLC,1061165,VERIFIED,95 13F filings; latest report 2026-06-30
Greenlight Capital,Greenlight,GREENLIGHT CAPITAL INC,1079114,VERIFIED,unique filer match (David Einhorn); latest report period 2023-12-31 (stale)
Duquesne Family Office,,Duquesne Family Office LLC,1536411,VERIFIED,62 13F filings; latest report 2026-06-30
Soros Fund Management,Soros,SOROS FUND MANAGEMENT LLC,1029160,VERIFIED_WITH_SCOPE,scope: track Soros Fund Management LLC (CIK 1029160); SOROS CAPITAL MANAGEMENT LLC (CIK 1748240) is a parallel active filer since 2020; not merged
Coatue Management,,COATUE MANAGEMENT LLC,1135730,VERIFIED,99 13F filings; latest report 2026-06-30
Tiger Global Management,,TIGER GLOBAL MANAGEMENT LLC,1167483,VERIFIED,102 13F filings; latest report 2026-06-30
D1 Capital Partners,,D1 Capital Partners L.P.,1747057,VERIFIED,31 13F filings; latest report 2026-06-30
Maverick Capital,,MAVERICK CAPITAL LTD,934639,VERIFIED,116 13F filings; latest report 2026-06-30
Altimeter Capital Management,,"Altimeter Capital Management, LP",1541617,VERIFIED,62 13F filings; latest report 2026-06-30
Dragoneer Investment Group,,"Dragoneer Investment Group, LLC",1602189,VERIFIED,47 13F filings; latest report 2026-06-30
Trian Fund Management,Trian,"TRIAN FUND MANAGEMENT, L.P.",1345471,VERIFIED,74 13F filings; latest report 2026-06-30
ValueAct Capital,ValueAct,"ValueAct Holdings, L.P.",1418814,VERIFIED_WITH_SCOPE,"scope: track ValueAct Holdings L.P. (CIK 1418814, active since 2008); ValueAct Capital Management L.P. (CIK 1351069) is the historical entity"
Elliott Investment Management,,Elliott Investment Management L.P.,1791786,VERIFIED,30 13F filings; latest report 2026-06-30
Bridgewater Associates,,"Bridgewater Associates, LP",1350694,VERIFIED,98 13F filings; latest report 2026-06-30
TCI Fund Management,,TCI Fund Management Ltd,1647251,VERIFIED,45 13F filings; latest report 2026-06-30
Renaissance Technologies,,RENAISSANCE TECHNOLOGIES LLC,1037389,VERIFIED,27 13F filings; latest report 2026-06-30
Citadel Advisors,,CITADEL ADVISORS LLC,1423053,VERIFIED,65 13F filings; latest report 2026-06-30
BlackRock,BlackRock Inc,"BlackRock, Inc.",2012383,VERIFIED,5 13F filings (new entity since 2025-08); latest report 2026-06-30
Vanguard Group,Vanguard;Vanguard Group Inc,VANGUARD GROUP INC,102909,VERIFIED_WITH_SCOPE,"scope: track VANGUARD GROUP INC (CIK 102909) as the parent label; Vanguard 13F data is fragmented across many legal entities (Advisers Inc, Fiduciary Trust, etc.); parent only began filing 2025-08"
State Street,State Street Global Advisors;State Street Corp,STATE STREET CORP,93751,VERIFIED,7 13F filings (since 2025-02); latest report 2026-06-30
