transition_id,manager_id,manager_name,prev_period,report_period,cusip,put_call,shares_type,expected_change,expected_shares_prev,expected_shares_now,expected_weight_prev,expected_weight_now,production_change,production_shares_prev,production_shares_now,production_weight_prev,production_weight_now,raw_provenance,human_result,reviewer,review_date,methodology_version,effective_version,reviewer_notes
T-a96f82017f43f18a7341,1,STATE STREET CORP,2023-09-30,2023-12-31,60937PAD8,,SH,NEW,,24587000,,2.3656371555703466e-05,NEW,,24587000,,2.3656371555703466e-05,"{""current"":[{""accession_number"":""0000093751-24-000484"",""filing_date"":""2024-02-14"",""filing_id"":2,""object_path"":""objects/sha256/8b/8b95818717c77a4497931c5cf1c6e8f6c742c46bd42e41db7c16e0e6b3385554"",""row_ordinal"":4428,""value_basis"":""USD_SEC_FILING_DATE_2023_01_03_V1""}],""previous"":[]}",,,,0.1.1,v3:6855a4ef46af5754427724ffefce066fc0f1a8787faa9440bb8673ed0ce6032e,
T-8982bab138ddd8136f7d,2,VANGUARD GROUP INC,2023-09-30,2023-12-31,00288U106,,SH,NEW,,13112,,1.635599346400789e-08,NEW,,13112,,1.635599346400789e-08,"{""current"":[{""accession_number"":""0001104659-24-032991"",""filing_date"":""2024-03-11"",""filing_id"":16,""object_path"":""objects/sha256/ca/caff8f8e3ce25560cf3a92e99ee0fce907dc575c9ff93f4831bdcebb6c04ffa8"",""row_ordinal"":91,""value_basis"":""USD_SEC_FILING_DATE_2023_01_03_V1""}],""previous"":[]}",,,,0.1.1,v3:6855a4ef46af5754427724ffefce066fc0f1a8787faa9440bb8673ed0ce6032e,
T-104faf7e9938f2f9ce20,3,MAVERICK CAPITAL LTD,2023-09-30,2023-12-31,00402L107,,SH,NEW,,53359,,0.0007072007246445168,NEW,,53359,,0.0007072007246445168,"{""current"":[{""accession_number"":""0000947871-24-000140"",""filing_date"":""2024-02-14"",""filing_id"":26,""object_path"":""objects/sha256/d1/d1c046f85affd709fcc947c8120af7551e9959880fba1eff606ecbfd5d7e69dc"",""row_ordinal"":3,""value_basis"":""USD_SEC_FILING_DATE_2023_01_03_V1""}],""previous"":[]}",,,,0.1.1,v3:6855a4ef46af5754427724ffefce066fc0f1a8787faa9440bb8673ed0ce6032e,
T-946bc1943f935f49d113,4,SOROS FUND MANAGEMENT LLC,2023-09-30,2023-12-31,02156B103,PUT,SH,NEW,,61700,,0.0003805429157792732,NEW,,61700,,0.0003805429157792732,"{""current"":[{""accession_number"":""0000902664-24-001751"",""filing_date"":""2024-02-14"",""filing_id"":38,""object_path"":""objects/sha256/07/07d931b10590e03f8bbb8ae69cadeae6454b6d62eb93b2c3e4b884849ac79f07"",""row_ordinal"":9,""value_basis"":""USD_SEC_FILING_DATE_2023_01_03_V1""}],""previous"":[]}",,,,0.1.1,v3:6855a4ef46af5754427724ffefce066fc0f1a8787faa9440bb8673ed0ce6032e,
T-eca69c8100ca268c30ed,5,RENAISSANCE TECHNOLOGIES LLC,2023-09-30,2023-12-31,90137F202,,SH,NEW,,67000,,1.8573900846078332e-07,NEW,,67000,,1.8573900846078332e-07,"{""current"":[{""accession_number"":""0001037389-24-000071"",""filing_date"":""2024-02-13"",""filing_id"":50,""object_path"":""objects/sha256/e1/e16da13ca9c353d74473441d230f914ccaebd4c4d4d6dae19eb2833cdb90d958"",""row_ordinal"":7,""value_basis"":""USD_SEC_FILING_DATE_2023_01_03_V1""}],""previous"":[]}",,,,0.1.1,v3:6855a4ef46af5754427724ffefce066fc0f1a8787faa9440bb8673ed0ce6032e,
T-45546c5605d6f045b985,1,STATE STREET CORP,2023-09-30,2023-12-31,55405YAB6,,SH,NEW,,10180000,,6.105152978439658e-06,NEW,,10180000,,6.105152978439658e-06,"{""current"":[{""accession_number"":""0000093751-24-000484"",""filing_date"":""2024-02-14"",""filing_id"":2,""object_path"":""objects/sha256/8b/8b95818717c77a4497931c5cf1c6e8f6c742c46bd42e41db7c16e0e6b3385554"",""row_ordinal"":4430,""value_basis"":""USD_SEC_FILING_DATE_2023_01_03_V1""}],""previous"":[]}",,,,0.1.1,v3:6855a4ef46af5754427724ffefce066fc0f1a8787faa9440bb8673ed0ce6032e,
T-37893047caea5086544a,1,STATE STREET CORP,2023-09-30,2023-12-31,81807M304,,SH,NEW,,19377,,1.9415836912328938e-08,NEW,,19377,,1.9415836912328938e-08,"{""current"":[{""accession_number"":""0000093751-24-000484"",""filing_date"":""2024-02-14"",""filing_id"":2,""object_path"":""objects/sha256/8b/8b95818717c77a4497931c5cf1c6e8f6c742c46bd42e41db7c16e0e6b3385554"",""row_ordinal"":4,""value_basis"":""USD_SEC_FILING_DATE_2023_01_03_V1""}],""previous"":[]}",,,,0.1.1,v3:6855a4ef46af5754427724ffefce066fc0f1a8787faa9440bb8673ed0ce6032e,
T-8f752101126df7ad5d20,1,STATE STREET CORP,2023-09-30,2023-12-31,00510M104,,SH,NEW,,28566,,5.321662161244794e-08,NEW,,28566,,5.321662161244794e-08,"{""current"":[{""accession_number"":""0000093751-24-000484"",""filing_date"":""2024-02-14"",""filing_id"":2,""object_path"":""objects/sha256/8b/8b95818717c77a4497931c5cf1c6e8f6c742c46bd42e41db7c16e0e6b3385554"",""row_ordinal"":58,""value_basis"":""USD_SEC_FILING_DATE_2023_01_03_V1""}],""previous"":[]}",,,,0.1.1,v3:6855a4ef46af5754427724ffefce066fc0f1a8787faa9440bb8673ed0ce6032e,
T-7cb26b5a3d41116cb582,1,STATE STREET CORP,2023-09-30,2023-12-31,0076CA104,,SH,NEW,,13395,,3.7528594257352486e-08,NEW,,13395,,3.7528594257352486e-08,"{""current"":[{""accession_number"":""0000093751-24-000484"",""filing_date"":""2024-02-14"",""filing_id"":2,""object_path"":""objects/sha256/8b/8b95818717c77a4497931c5cf1c6e8f6c742c46bd42e41db7c16e0e6b3385554"",""row_ordinal"":85,""value_basis"":""USD_SEC_FILING_DATE_2023_01_03_V1""}],""previous"":[]}",,,,0.1.1,v3:6855a4ef46af5754427724ffefce066fc0f1a8787faa9440bb8673ed0ce6032e,
T-cb8ad3e4f9a5d067a924,1,STATE STREET CORP,2023-09-30,2023-12-31,68243Q106,,SH,ADD,539171,577808,2.092753956365003e-06,3.0297062024803247e-06,ADD,539171,577808,2.092753956365003e-06,3.0297062024803247e-06,"{""current"":[{""accession_number"":""0000093751-24-000484"",""filing_date"":""2024-02-14"",""filing_id"":2,""object_path"":""objects/sha256/8b/8b95818717c77a4497931c5cf1c6e8f6c742c46bd42e41db7c16e0e6b3385554"",""row_ordinal"":1,""value_basis"":""USD_SEC_FILING_DATE_2023_01_03_V1""}],""previous"":[{""accession_number"":""0000093751-23-000703"",""filing_date"":""2023-11-14"",""filing_id"":1,""object_path"":""objects/sha256/a3/a36759d2da76630fd0163db2ba635da2bdce34d12af42b5b432d3b7a8564f15d"",""row_ordinal"":1,""value_basis"":""USD_SEC_FILING_DATE_2023_01_03_V1""}]}",,,,0.1.1,v3:6855a4ef46af5754427724ffefce066fc0f1a8787faa9440bb8673ed0ce6032e,
