# pilot mapping coverage recorded 2026-08-24 (Yahoo research-only; not an approved provider)
cusip,holders,symbol,exchange,bars,status
023135106,23,AMZN,NMS,1255,RESOLVED_US
02079K305,21,1GOOGL.MI,MIL,1271,FOREIGN_LISTING_ISSUE
30303M102,20,META,NMS,1255,RESOLVED_US
594918104,19,MSFT,NMS,1255,RESOLVED_US
67066G104,18,NVDA,NMS,1255,RESOLVED_US
92826C839,17,V,NYQ,1255,RESOLVED_US
874039100,17,0LCV.IL,IOB,1216,FOREIGN_LISTING_ISSUE
11135F101,17,AVGO,NMS,1255,RESOLVED_US
G3643J108,16,FLUT,NYQ,1255,RESOLVED_US
91324P102,16,UNH,NYQ,1255,RESOLVED_US
852234103,16,XYZ,NYQ,1255,SYMBOL_HISTORY_ISSUE
722304102,16,,,0,UNRESOLVED
235851102,16,DHR,NYQ,1255,RESOLVED_US
02079K107,16,GOOG,NMS,1255,RESOLVED_US
90353T100,15,UBER,NYQ,1255,RESOLVED_US
833445109,15,SNOW,NYQ,1255,RESOLVED_US
79466L302,15,CRM,NYQ,1255,RESOLVED_US
25809K105,15,DASH,NMS,1255,RESOLVED_US
22266T109,15,CPNG,NYQ,1209,RESOLVED_US
14040H105,15,COF,NYQ,1255,RESOLVED_US
