part,cusip,issuer,title_of_class,status,symbol,exchange,security_type,share_class_figi,figi,sources,notes
PART_A,02079K305,ALPHABET INC,CAP STK CL A,VERIFIED_EXACT,GOOGL,US,Common Stock,BBG009S39JY5,BBG009S39JX6,sec_13f_issuer;sec_ticker_file;openfigi,
PART_A,874039100,TAIWAN SEMICONDUCTOR MANUFAC,SPONSORED ADS,VERIFIED_EXACT,TSM,US,ADR,BBG001S5WWW4,BBG000BD8ZK0,sec_ticker_file;openfigi,
PART_A,852234103,BLOCK INC,CL A,VERIFIED_EXACT,XYZ,US,Common Stock,BBG001TFLWL5,BBG0018SLC07,sec_13f_issuer;sec_ticker_file;openfigi,
PART_A,722304102,PDD HOLDINGS INC,SPONSORED ADS,VERIFIED_MULTI_SOURCE,PDD,US,ADR,BBG00LBLDFH8,BBG00LBLDDR2,sec_13f_issuer;sec_ticker_file;openfigi,
PART_A,G3643J108,FLUTTER ENTMT PLC,SHS,VERIFIED_EXACT,FLUT,,,,,sec,
PART_B,55825T103,MADISON SQUARE GRDN SPRT COR,CL A,VERIFIED_EXACT,MSGS,US,Common Stock,BBG007FG0C32,BBG007FG0C23,sec_ticker_file;openfigi,
PART_B,23249H105,CYABRA INC,COM SHS,VERIFIED_MULTI_SOURCE,CYAB,US,Common Stock,BBG0200RD2J8,BBG0200RD2D4,sec_13f_issuer;sec_ticker_file;openfigi,
PART_B,G7S53R104,PROKIDNEY CORP,CLASS A ORD SHS,VERIFIED_EXACT,PROK,,,,,sec,
PART_B,97717Y543,WISDOMTREE TR,ARTIFICIAL INTEL,UNRESOLVED,,,,,,,OpenFIGI candidate but no SEC issuer corroboration
PART_B,343412102,FLUOR CORP,COM,VERIFIED_MULTI_SOURCE,FLR,US,Common Stock,BBG001S5Q738,BBG000BB1TH9,sec_13f_issuer;sec_ticker_file;openfigi,
PART_B,G2104U107,CHANSON INTL HLDG,CLASS A ORD,UNRESOLVED,,,,,,,
PART_B,78470P820,SSGA ACTIVE TR,SPDR SSGA MY2026,UNRESOLVED,,,,,,,OpenFIGI candidate but no SEC issuer corroboration
PART_B,78464A144,SPDR SERIES TRUST,PORTFOLIO CRPORT,UNRESOLVED,,,,,,,OpenFIGI candidate but no SEC issuer corroboration
PART_B,46139W825,INVESCO EXCH TRD SLF IDX FD,INVESCO BULLETSH,UNRESOLVED,,,,,,,OpenFIGI candidate but no SEC issuer corroboration
PART_B,45332Y109,INARI MED INC,COM,UNRESOLVED,,,,,,,no US venue record (possibly delisted/terminated or wrong CUSIP)
PART_B,46436E692,ISHARES TR,ESG AWARE CONSER,UNRESOLVED,,,,,,,
PART_B,67092P607,NUSHARES ETF TR,NUVEEN ESG SMLCP,UNRESOLVED,,,,,,,OpenFIGI candidate but no SEC issuer corroboration
PART_B,84762LAZ8,SPECTRUM BRANDS INC,NOTE  3.375% 6/0,NON_EQUITY_OR_UNSUPPORTED,,,,,,,marketSector=['Corp'] not Equity
