# security split manifest (sample)
cusip,part
00032Q104,development
000360206,development
000361105,development
000380204,development
00039J103,development
00039J202,development
00039J301,development
00039J400,development
00039J509,development
00039J608,development
00039J707,development
00039J731,development
00039J764,development
00039J772,development
00039J780,development
00039J806,development
00039J822,development
00039J830,development
00039J848,holdout
00039J855,holdout
00039J863,development
00081T108,development
000847103,development
000847202,development
00085X113,development
000868109,development
000899104,development
00090Q103,development
00091E109,development
00091F304,development
00091G104,development
000957100,development
001055102,development
001084102,development
00108J109,development
00109K105,development
00110G408,development
001228501,development
00123Q104,holdout
00130H105,development
00138L108,development
00152K101,development
00152K200,holdout
00162Q106,development
00162Q205,development
00162Q338,development
00162Q346,development
00162Q361,development
00162Q379,holdout
00162Q387,development
00162Q395,development
00162Q411,development
00162Q452,holdout
00162Q460,development
00162Q478,development
00162Q510,development
00162Q528,development
00162Q536,development
00162Q593,development
00162Q668,development
00162Q676,development
00162Q718,development
00162Q726,development
00162Q858,development
00164V103,development
00164VAJ2,holdout
00165C302,development
00166B105,development
001744101,development
00175J107,development
00180G304,development
00180N101,development
00181T107,development
00182C103,development
00182CAC7,development
00183L102,development
00183L201,development
00187Y100,development
00191G103,development
00191U102,development
00206R102,development
00211V106,development
00211Y506,development
002120202,development
002121101,development
002121AB7,development
00214Q104,development
00214Q203,development
00214Q302,holdout
00214Q401,development
00214Q500,development
00214Q609,development
00214Q708,development
00214Q807,holdout
00215F107,development
00215W100,development
00217D100,development
00217Y104,development
00218A105,development
002205102,development
00246W103,development
002474104,development
00249W100,development
00258W108,holdout
00258Y104,development
002824100,holdout
00287Y109,holdout
00288U106,development
002896207,holdout
00289Y206,development
002942100,development
003009107,development
003011103,development
003013109,development
00301W105,development
003022266,holdout
003022274,development
00302L108,development
00302L207,development
00302M106,development
003057106,development
00306J109,holdout
003260106,development
003261104,development
003261203,development
003262102,development
003263100,holdout
003264108,holdout
00326A104,development
00326L100,development
00326W106,development
00370M103,development
00373V100,holdout
00373V118,development
00384X202,holdout
00384X301,holdout
003881307,development
00400R601,development
00400R700,development
00400R809,development
00400R858,holdout
00402L107,development
00404A109,development
004225108,holdout
004239109,development
00430H201,development
00430K865,holdout
00436Q106,development
00437E102,development
00438Y123,development
004397105,development
00439U104,development
00444T209,development
00444X119,development
00445A100,development
004468500,development
004498101,development
00449L102,holdout
00461U105,development
004816104,development
004848206,development
00484M700,development
00484MAC0,holdout
00486H105,development
004890109,development
00489Q102,development
00501A119,development
005029111,development
00503R409,development
00503R508,development
00507V109,development
00507W206,development
005083100,development
00508Y102,development
005098108,development
00509G209,development
00509W105,development
00510M104,holdout
00510M203,development
00510N102,development
005111109,development
005329107,holdout
00534A102,development
00534B100,development
00547W208,development
00548F105,development
00548H101,development
006212104,development
006351308,development
00650F109,development
00653A107,development
00653L301,development
00653L400,development
00653Q102,development
00654J206,development
006739106,development
006743306,holdout
00676P107,development
00688A205,development
00688A304,development
007002108,development
007002207,holdout
00704R109,holdout
00724F101,development
00737L103,development
00739D109,development
00739D117,development
007408206,holdout
00751Y106,development
00752P104,holdout
0075W0155,development
00760J108,development
00764C109,development
00764Q587,development
00764Q611,holdout
00764Q629,development
00766T100,development
00768Y289,development
00768Y297,development
00768Y313,holdout
00768Y362,holdout
00768Y412,development
00768Y453,development
00768Y495,development
00768Y560,development
00768Y818,development
0076CA104,development
00770C101,development
00770K202,holdout
00770X188,development
00770X196,development
00770X212,development
00770X220,development
00770X246,development
00770X261,development
007737109,holdout
00773J202,development
00773T101,development
00773U108,development
00773U207,development
00774Q148,development
00774Q346,holdout
00775Y322,development
00775Y363,development
00775Y652,development
00775Y728,development
00776X109,development
00777X108,development
00777X496,development
00777X520,development
00777X538,development
00777X660,development
00788A105,development
00788A113,development
00788A204,development
007903107,development
00790R104,development
00791N102,development
00791N201,holdout
00791R608,development
00791R707,development
00791R798,development
00791R814,development
00791R822,development
00791R830,development
00791X100,holdout
00791X209,development
007924103,development
007973100,development
007973AE0,development
007975501,development
008064107,development
008064206,development
008073108,development
008073AA6,holdout
00808Y307,development
00808Y406,development
00808Y505,development
00808Y604,development
00809M104,development
00809R202,development
00810F106,development
00810J108,development
00810J116,development
008183105,development
008183113,development
008183204,development
008252108,holdout
00827B106,holdout
00827BAB2,development
00827BAD8,holdout
00832E103,development
00835Q103,development
00835Q111,development
00835Q202,development
00835T107,development
008389108,development
008389207,development
00846U101,holdout
008474108,development
00847G705,development
00847G804,development
00847J105,holdout
00847L308,development
00847X104,development
00848H108,development
00848J104,holdout
00848K101,development
00848K200,development
00848K309,development
008492100,development
00851L103,development
00853E305,development
00853E404,development
00857F118,holdout
00857U107,development
00857U206,development
00860C102,holdout
008875304,development
00887A204,development
00888H109,development
00888H208,development
00888H307,holdout
00888H406,development
00888H422,development
00888H448,development
00888H489,holdout
00888H497,development
00888H505,development
00888H513,development
00888H521,holdout
00888H539,development
00888H547,development
00888H554,development
00888H562,development
00888H570,development
00888H588,development
00888H596,development
00888H604,development
00888H612,development
00888H620,development
00888H646,development
00888H653,holdout
00888H661,development
00888H679,holdout
00888H687,development
00888H695,development
00888H703,development
00888H711,development
00888H729,development
00888H737,development
00888H745,development
00888H752,development
00888H760,development
00888H778,development
00888H786,holdout
00888H794,holdout
00888H802,development
00888H810,development
00888H828,development
00888H836,development
00888H844,development
00888H851,holdout
00888H869,development
00888H877,development
008933103,development
008940108,development
00901B105,development
00901B303,holdout
00902F113,development
00902F204,holdout
00902F303,development
00902F402,development
009066101,development
009066AB7,holdout
00912N403,development
00912X302,development
009158106,holdout
009207101,holdout
00922R105,development
00922RAD7,development
00938A104,holdout
00941Q203,development
009422106,development
009496100,development
00951K104,development
00971M205,development
00971T101,development
00971TAJ0,development
00971TAL5,holdout
00971TAN1,development
00971TAQ4,development
00972D105,holdout
00972G207,development
00972G405,holdout
00973N102,holdout
00973W300,holdout
00973Y108,development
00974B107,holdout
00974H104,holdout
01021M104,holdout
01021X100,development
010911105,development
011311107,development
011532108,development
011642105,development
011642AB1,development
011642AD7,development
011659109,development
012348108,development
012653101,development
012653200,holdout
013091103,development
013872106,holdout
01438T106,holdout
014442107,development
01444V103,development
01446U103,development
014491104,holdout
014752109,holdout
015271109,development
015564206,development
015564404,development
015564503,development
015564602,holdout
015658107,holdout
015857105,development
01609W102,development
01609WBG6,holdout
016230104,development
016255101,development
016259202,development
01625V104,development
01625VAB0,development
01626L105,holdout
01626L204,holdout
01626W101,development
01643A306,development
01643B106,development
01644J108,development
01644JAB4,development
01671P100,holdout
016744302,development
016744500,holdout
01675A109,development
01675A208,development
01741R102,development
01741RAK8,holdout
01748X102,development
01749D105,development
018522300,development
018581108,holdout
01861F102,development
01861F110,development
01862Q107,development
01864U106,development
01877R108,holdout
01879R106,holdout
018802108,development
018802AC2,holdout
018802AE8,development
01881G106,development
019170109,development
019170208,development
01921D204,development
019330109,development
01973R101,development
019770106,development
019818103,development
01988P108,development
01989A100,development
01989A209,development
01989A308,development
01989A605,holdout
01989A704,development
01989A803,development
020002101,development
02005N100,development
02008G102,development
02008G110,holdout
02008G201,development
020283305,holdout
02028M105,development
020398707,development
02043Q107,development
02043QAB3,development
02072L102,development
02072L151,development
02072L169,development
02072L185,development
02072L201,development
02072L250,development
02072L276,development
02072L284,holdout
02072L300,development
02072L326,development
02072L334,development
02072L375,development
02072L383,holdout
02072L409,development
02072L425,holdout
02072L433,development
02072L441,development
02072L458,development
02072L466,development
02072L508,development
02072L516,development
02072L524,development
02072L532,development
02072L557,development
02072L565,development
02072L573,development
02072L581,holdout
02072L599,development
02072L607,development
02072L615,holdout
02072L631,development
02072L649,holdout
02072L672,development
02072L680,holdout
02072L698,development
02072L714,development
02072L722,development
02072L730,holdout
02072L771,development
02072L839,development
02072L870,development
02072Q176,development
02072Q184,development
02072Q275,development
02072Q358,holdout
02072Q374,development
02072Q424,development
02072Q499,development
02072Q572,development
02072Q622,development
02072Q663,development
02072Q747,development
02072Q754,development
02072Q762,development
02072Q788,holdout
02072Q796,development
02072Q804,development
02072Q820,development
02072Q846,development
02074J501,development
020764106,development
020772109,development
02079K107,development
02079K305,development
02079K404,development
02079K602,holdout
02079K907,development
02079K957,development
02080L102,development
02081G201,holdout
02081GAB8,development
02081GAD4,development
02083E204,holdout
02083G100,development
02083X103,development
020952107,holdout
02115D208,development
02128L106,holdout
021369103,development
021369AC7,holdout
021513106,development
02155H200,development
02155X205,development
02156B103,development
02156BAD5,holdout
